date;George Orwell;Aldous Huxley;School admissions;Australia holidays;air travel;isPartial
2022-01-01;12;0;26;6;21;False
2022-01-02;8;0;32;0;38;False
2022-01-03;13;0;51;8;31;False
2022-01-04;13;23;80;0;33;False
2022-01-05;28;0;97;21;47;False
2022-01-06;14;0;72;16;38;False
2022-01-07;14;3;63;20;39;False
2022-01-08;20;5;30;11;44;False
2022-01-09;15;0;48;13;34;False
2022-01-10;9;3;100;12;59;False
2022-01-11;9;3;98;8;48;False
2022-01-12;8;0;79;11;41;False
2022-01-13;20;0;83;0;61;False
2022-01-14;16;0;75;3;51;False
2022-01-15;16;5;39;13;41;False
2022-01-16;13;6;30;14;44;False
2022-01-17;12;0;52;3;40;False
2022-01-18;12;0;47;5;36;False
2022-01-19;12;8;41;14;46;False
2022-01-20;17;0;56;7;33;False
2022-01-21;18;0;42;13;23;False
2022-01-22;13;0;5;9;33;False
2022-01-23;18;7;27;8;42;False
2022-01-24;18;0;45;15;60;False
2022-01-25;20;4;49;5;30;False
2022-01-26;13;0;36;10;39;False
2022-01-27;21;4;36;7;44;False
2022-01-28;19;3;34;8;30;False
2022-01-29;10;0;23;11;37;False
2022-01-30;22;0;28;12;44;False
2022-01-31;11;0;49;3;51;False
