date;Rwanda;French Open;Ben Stokes;IPL;air travel;isPartial
2022-01-01;27;10;10;22;18;False
2022-01-02;16;12;0;38;33;False
2022-01-03;14;11;5;31;27;False
2022-01-04;14;11;5;43;29;False
2022-01-05;18;18;4;34;41;False
2022-01-06;21;18;0;40;32;False
2022-01-07;16;15;25;31;34;False
2022-01-08;21;17;14;29;38;False
2022-01-09;17;14;23;40;29;False
2022-01-10;19;11;0;39;51;False
2022-01-11;14;6;8;41;42;False
2022-01-12;25;16;0;47;36;False
2022-01-13;18;17;0;53;53;False
2022-01-14;20;14;0;44;44;False
2022-01-15;25;14;9;37;35;False
2022-01-16;24;23;3;46;38;False
2022-01-17;23;56;7;39;34;False
2022-01-18;21;31;7;43;31;False
2022-01-19;20;10;0;40;39;False
2022-01-20;22;12;3;36;29;False
2022-01-21;15;15;10;43;20;False
2022-01-22;11;19;0;65;28;False
2022-01-23;14;26;4;57;36;False
2022-01-24;25;22;6;68;51;False
2022-01-25;16;16;0;47;26;False
2022-01-26;14;18;3;36;34;False
2022-01-27;18;15;0;37;38;False
2022-01-28;13;23;4;43;26;False
2022-01-29;23;18;0;54;32;False
2022-01-30;16;100;0;45;38;False
2022-01-31;24;30;0;37;44;False
