date;Rail fares;Mortgage rates;Council tax;George Saunders;air travel;isPartial
2022-01-01;0;4;46;0;2;False
2022-01-02;0;5;49;0;4;False
2022-01-03;0;6;59;0;3;False
2022-01-04;0;8;100;0;3;False
2022-01-05;0;7;88;1;5;False
2022-01-06;0;7;75;1;4;False
2022-01-07;0;8;77;0;4;False
2022-01-08;0;5;49;0;4;False
2022-01-09;0;6;43;0;3;False
2022-01-10;0;8;79;1;6;False
2022-01-11;1;9;72;1;5;False
2022-01-12;0;6;66;0;4;False
2022-01-13;0;8;70;0;6;False
2022-01-14;0;6;65;0;5;False
2022-01-15;0;7;49;0;4;False
2022-01-16;0;6;48;0;4;False
2022-01-17;0;7;81;0;4;False
2022-01-18;0;8;74;0;3;False
2022-01-19;0;9;69;0;4;False
2022-01-20;0;8;66;0;3;False
2022-01-21;0;6;69;0;2;False
2022-01-22;0;6;46;0;3;False
2022-01-23;0;8;44;0;4;False
2022-01-24;0;8;92;0;6;False
2022-01-25;0;7;73;0;3;False
2022-01-26;0;7;67;0;4;False
2022-01-27;0;6;70;0;4;False
2022-01-28;0;7;86;1;3;False
2022-01-29;0;7;51;0;4;False
2022-01-30;0;7;49;0;4;False
2022-01-31;0;8;100;0;5;False
