date;Indigenous recognition;Australian Capital Territory;Vanuatu;Victoria Beckham;air travel;isPartial
2022-01-01;0;0;7;100;32;False
2022-01-02;0;0;8;67;59;False
2022-01-03;0;8;6;63;48;False
2022-01-04;0;0;14;53;51;False
2022-01-05;0;5;6;41;73;False
2022-01-06;0;0;13;33;58;False
2022-01-07;0;0;0;37;60;False
2022-01-08;0;0;7;63;67;False
2022-01-09;0;19;19;80;52;False
2022-01-10;0;7;0;63;91;False
2022-01-11;0;0;5;48;74;False
2022-01-12;0;0;0;38;64;False
2022-01-13;0;0;0;52;95;False
2022-01-14;0;0;19;67;79;False
2022-01-15;0;0;19;90;62;False
2022-01-16;0;0;0;86;68;False
2022-01-17;0;0;18;46;61;False
2022-01-18;0;0;31;39;56;False
2022-01-19;0;0;15;47;70;False
2022-01-20;0;0;85;50;51;False
2022-01-21;0;0;27;48;36;False
2022-01-22;0;0;20;84;50;False
2022-01-23;0;0;13;79;65;False
2022-01-24;0;0;10;62;92;False
2022-01-25;0;0;7;36;47;False
2022-01-26;0;0;7;50;60;False
2022-01-27;0;10;5;54;68;False
2022-01-28;0;0;17;41;47;False
2022-01-29;0;0;17;44;57;False
2022-01-30;0;8;15;48;67;False
2022-01-31;0;5;16;40;78;False
