date;NFL;Kansas City Chiefs;US sports;Brentford;air travel;isPartial
2022-01-01;14;0;0;6;1;False
2022-01-02;50;1;0;24;1;False
2022-01-03;35;0;0;6;1;False
2022-01-04;22;0;0;5;1;False
2022-01-05;11;0;0;4;1;False
2022-01-06;11;0;0;4;1;False
2022-01-07;10;0;0;4;1;False
2022-01-08;21;1;0;10;1;False
2022-01-09;59;1;0;5;1;False
2022-01-10;46;0;0;5;2;False
2022-01-11;14;0;0;29;1;False
2022-01-12;11;0;0;8;1;False
2022-01-13;12;0;0;5;2;False
2022-01-14;11;0;0;5;2;False
2022-01-15;36;0;0;10;1;False
2022-01-16;95;0;0;60;1;False
2022-01-17;43;1;0;10;1;False
2022-01-18;27;0;1;8;1;False
2022-01-19;10;0;0;51;1;False
2022-01-20;10;0;0;15;1;False
2022-01-21;12;0;0;6;1;False
2022-01-22;35;0;0;25;1;False
2022-01-23;100;1;0;8;1;False
2022-01-24;46;2;0;5;2;False
2022-01-25;11;0;0;4;1;False
2022-01-26;11;0;0;5;1;False
2022-01-27;10;0;0;4;1;False
2022-01-28;11;0;0;5;1;False
2022-01-29;22;0;0;7;1;False
2022-01-30;63;5;0;4;1;False
2022-01-31;42;1;0;9;1;False
