date;Hull;Crosswords;Hobbies;Reference and languages books;air travel;isPartial
2022-01-01;50;1;2;0;1;False
2022-01-02;49;1;2;0;2;False
2022-01-03;48;1;2;0;1;False
2022-01-04;51;1;3;0;2;False
2022-01-05;49;1;2;0;2;False
2022-01-06;49;1;2;0;2;False
2022-01-07;52;1;2;0;2;False
2022-01-08;100;1;2;0;2;False
2022-01-09;50;1;3;0;2;False
2022-01-10;53;1;2;0;3;False
2022-01-11;47;1;2;0;2;False
2022-01-12;48;1;2;0;2;False
2022-01-13;57;1;1;0;3;False
2022-01-14;49;1;2;0;2;False
2022-01-15;52;1;2;0;2;False
2022-01-16;64;1;1;0;2;False
2022-01-17;52;1;2;0;2;False
2022-01-18;50;2;2;0;2;False
2022-01-19;60;1;2;0;2;False
2022-01-20;49;1;2;0;2;False
2022-01-21;50;1;1;0;1;False
2022-01-22;53;1;2;0;2;False
2022-01-23;45;1;2;0;2;False
2022-01-24;58;1;2;0;3;False
2022-01-25;49;1;2;0;1;False
2022-01-26;51;1;2;0;2;False
2022-01-27;50;1;2;0;2;False
2022-01-28;53;1;2;0;1;False
2022-01-29;66;1;2;0;2;False
2022-01-30;53;1;2;0;2;False
2022-01-31;60;1;2;0;2;False
