date;AFC Wimbledon;Hartlepool;Port Vale;Gloucester;air travel;isPartial
2022-01-01;3;42;5;68;3;False
2022-01-02;2;29;4;87;5;False
2022-01-03;2;30;5;70;4;False
2022-01-04;3;47;4;71;4;False
2022-01-05;2;33;4;60;6;False
2022-01-06;2;32;4;62;5;False
2022-01-07;5;35;5;66;5;False
2022-01-08;14;57;34;75;6;False
2022-01-09;5;39;7;60;5;False
2022-01-10;4;34;5;70;8;False
2022-01-11;7;31;7;62;7;False
2022-01-12;3;28;3;59;6;False
2022-01-13;4;30;2;69;8;False
2022-01-14;3;33;4;63;7;False
2022-01-15;10;36;19;66;6;False
2022-01-16;4;28;5;62;6;False
2022-01-17;4;32;6;64;5;False
2022-01-18;10;35;16;64;5;False
2022-01-19;4;29;6;58;6;False
2022-01-20;2;31;3;61;4;False
2022-01-21;2;40;4;60;3;False
2022-01-22;7;42;12;78;4;False
2022-01-23;3;27;4;64;6;False
2022-01-24;5;32;4;79;8;False
2022-01-25;12;41;4;64;4;False
2022-01-26;4;32;4;67;5;False
2022-01-27;3;30;5;63;6;False
2022-01-28;6;35;8;67;4;False
2022-01-29;10;43;16;100;5;False
2022-01-30;3;29;4;66;6;False
2022-01-31;7;33;6;75;7;False
