date;Airline emissions;Greenpeace;Greta Thunberg;Star Trek;air travel;isPartial
2022-01-01;0;2;11;87;11;False
2022-01-02;0;5;12;79;20;False
2022-01-03;0;3;13;70;16;False
2022-01-04;0;3;10;95;17;False
2022-01-05;0;5;10;62;24;False
2022-01-06;0;8;5;73;19;False
2022-01-07;0;4;9;85;20;False
2022-01-08;0;3;6;86;22;False
2022-01-09;0;2;8;80;17;False
2022-01-10;0;6;10;75;30;False
2022-01-11;0;4;9;69;25;False
2022-01-12;0;5;6;62;21;False
2022-01-13;0;6;11;70;31;False
2022-01-14;0;2;3;77;26;False
2022-01-15;0;4;15;69;21;False
2022-01-16;0;0;10;79;23;False
2022-01-17;0;11;13;63;20;False
2022-01-18;0;12;7;70;18;False
2022-01-19;0;1;11;71;23;False
2022-01-20;0;0;14;67;17;False
2022-01-21;0;7;19;81;12;False
2022-01-22;0;4;15;81;17;False
2022-01-23;0;3;13;79;22;False
2022-01-24;0;4;22;100;30;False
2022-01-25;0;4;12;74;15;False
2022-01-26;0;6;16;68;20;False
2022-01-27;0;3;15;75;22;False
2022-01-28;0;4;15;74;16;False
2022-01-29;0;2;7;75;19;False
2022-01-30;0;7;15;95;22;False
2022-01-31;0;5;16;58;26;False
