date;Leasehold;Puzzle games;Depopulation;Mikhail Gorbachev;air travel;isPartial
2022-01-01;38;18;0;0;34;False
2022-01-02;45;25;0;6;63;False
2022-01-03;51;16;0;8;51;False
2022-01-04;81;14;0;0;54;False
2022-01-05;75;28;0;0;77;False
2022-01-06;41;11;0;0;61;False
2022-01-07;74;13;0;0;63;False
2022-01-08;73;27;0;0;71;False
2022-01-09;57;29;0;0;55;False
2022-01-10;83;19;5;8;97;False
2022-01-11;75;7;5;0;79;False
2022-01-12;94;15;0;6;67;False
2022-01-13;79;15;0;16;100;False
2022-01-14;84;23;0;0;84;False
2022-01-15;53;16;0;10;66;False
2022-01-16;39;22;0;0;72;False
2022-01-17;79;14;9;0;65;False
2022-01-18;79;16;0;0;59;False
2022-01-19;63;17;0;0;74;False
2022-01-20;91;37;5;0;54;False
2022-01-21;78;16;0;0;38;False
2022-01-22;51;19;0;5;53;False
2022-01-23;43;22;0;15;69;False
2022-01-24;88;8;0;0;97;False
2022-01-25;92;19;6;0;49;False
2022-01-26;78;24;0;0;64;False
2022-01-27;78;5;0;0;71;False
2022-01-28;79;13;10;11;49;False
2022-01-29;53;18;0;0;60;False
2022-01-30;60;12;11;0;71;False
2022-01-31;76;20;0;0;82;False
