date;Merce Cunningham;Hanya Yanagihara;The Americans;London Symphony Orchestra;air travel;isPartial
2022-01-01;0;13;53;0;34;False
2022-01-02;0;0;38;7;63;False
2022-01-03;0;9;30;0;51;False
2022-01-04;0;0;31;0;54;False
2022-01-05;11;0;32;5;77;False
2022-01-06;0;0;30;0;61;False
2022-01-07;0;14;48;7;63;False
2022-01-08;0;8;31;7;71;False
2022-01-09;0;15;36;0;55;False
2022-01-10;8;24;27;0;97;False
2022-01-11;0;0;48;0;79;False
2022-01-12;0;11;33;4;67;False
2022-01-13;0;13;48;0;100;False
2022-01-14;10;16;38;0;84;False
2022-01-15;0;10;30;7;66;False
2022-01-16;0;7;48;8;72;False
2022-01-17;0;0;29;0;65;False
2022-01-18;0;6;27;0;59;False
2022-01-19;0;0;19;4;74;False
2022-01-20;0;5;39;0;54;False
2022-01-21;0;8;30;0;38;False
2022-01-22;0;0;35;0;53;False
2022-01-23;0;11;35;0;69;False
2022-01-24;5;5;35;0;97;False
2022-01-25;7;5;33;10;49;False
2022-01-26;0;8;51;0;64;False
2022-01-27;0;11;37;0;71;False
2022-01-28;0;4;45;0;49;False
2022-01-29;0;4;10;9;60;False
2022-01-30;11;0;50;0;71;False
2022-01-31;0;0;29;0;82;False
