date;Marion Cotillard;Macbeth;The Tragedy of Macbeth;Roman Polanski;air travel;isPartial
2022-01-01;4;44;14;5;7;False
2022-01-02;0;43;8;2;14;False
2022-01-03;0;39;9;1;11;False
2022-01-04;2;46;6;2;12;False
2022-01-05;1;49;5;0;17;False
2022-01-06;3;54;6;0;13;False
2022-01-07;1;59;10;0;14;False
2022-01-08;1;43;8;8;16;False
2022-01-09;2;57;8;7;12;False
2022-01-10;2;65;5;0;21;False
2022-01-11;2;58;3;2;17;False
2022-01-12;3;57;4;0;15;False
2022-01-13;0;57;7;2;22;False
2022-01-14;0;78;15;0;18;False
2022-01-15;0;78;17;1;14;False
2022-01-16;2;100;19;0;16;False
2022-01-17;2;75;7;0;14;False
2022-01-18;2;63;7;3;13;False
2022-01-19;3;58;5;2;16;False
2022-01-20;0;52;6;2;12;False
2022-01-21;1;47;5;1;8;False
2022-01-22;3;42;9;1;12;False
2022-01-23;1;65;5;0;15;False
2022-01-24;0;66;6;2;21;False
2022-01-25;4;57;4;1;11;False
2022-01-26;0;60;3;5;14;False
2022-01-27;4;58;4;2;16;False
2022-01-28;0;46;4;1;11;False
2022-01-29;1;41;3;0;13;False
2022-01-30;0;42;4;4;16;False
2022-01-31;0;74;4;1;18;False
