date;Doctors;Soul;Crime;Emily Thornberry;air travel;isPartial
2022-01-01;41;97;65;0;3;False
2022-01-02;46;53;67;0;5;False
2022-01-03;59;51;69;0;4;False
2022-01-04;96;47;80;0;4;False
2022-01-05;94;47;75;0;6;False
2022-01-06;80;49;74;0;5;False
2022-01-07;75;48;71;0;5;False
2022-01-08;45;59;66;0;6;False
2022-01-09;40;60;78;0;5;False
2022-01-10;100;49;86;0;8;False
2022-01-11;80;44;78;0;7;False
2022-01-12;76;47;78;0;6;False
2022-01-13;87;48;86;0;8;False
2022-01-14;64;47;71;3;7;False
2022-01-15;41;69;68;2;5;False
2022-01-16;43;58;81;3;6;False
2022-01-17;97;47;80;0;5;False
2022-01-18;80;44;76;1;5;False
2022-01-19;71;40;70;1;6;False
2022-01-20;71;45;69;3;4;False
2022-01-21;71;51;69;0;3;False
2022-01-22;45;57;65;0;4;False
2022-01-23;40;53;69;1;6;False
2022-01-24;99;52;92;1;8;False
2022-01-25;78;44;77;1;4;False
2022-01-26;72;54;71;2;5;False
2022-01-27;70;48;66;1;6;False
2022-01-28;74;53;69;0;4;False
2022-01-29;40;60;62;0;5;False
2022-01-30;34;55;62;0;6;False
2022-01-31;89;47;75;1;7;False
