date;robbie williams;anders breivik;hampshire;international space station;air travel;isPartial
2022-01-01;17;0;77;2;5;False
2022-01-02;11;0;81;1;9;False
2022-01-03;7;0;87;2;7;False
2022-01-04;5;2;93;1;8;False
2022-01-05;3;0;93;0;11;False
2022-01-06;7;3;87;2;9;False
2022-01-07;10;0;78;1;9;False
2022-01-08;12;0;89;1;10;False
2022-01-09;9;0;81;1;8;False
2022-01-10;8;0;95;2;14;False
2022-01-11;7;1;88;8;11;False
2022-01-12;6;1;85;2;10;False
2022-01-13;18;0;99;2;15;False
2022-01-14;9;1;95;2;12;False
2022-01-15;12;0;89;1;10;False
2022-01-16;10;0;100;3;10;False
2022-01-17;16;2;93;2;9;False
2022-01-18;9;9;91;4;9;False
2022-01-19;5;5;76;2;11;False
2022-01-20;7;2;86;2;8;False
2022-01-21;7;2;75;0;6;False
2022-01-22;22;1;82;2;8;False
2022-01-23;12;1;69;2;10;False
2022-01-24;7;2;96;0;14;False
2022-01-25;6;1;82;2;7;False
2022-01-26;2;2;79;0;9;False
2022-01-27;10;0;79;5;10;False
2022-01-28;7;1;86;0;7;False
2022-01-29;7;0;82;4;9;False
2022-01-30;9;0;76;1;10;False
2022-01-31;8;0;89;1;12;False
