date;nicole kidman;kenneth branagh;hgv drivers;los angeles;air travel;isPartial
2022-01-01;32;10;0;54;8;False
2022-01-02;26;4;0;68;14;False
2022-01-03;11;3;4;66;11;False
2022-01-04;7;5;0;50;12;False
2022-01-05;5;6;2;49;17;False
2022-01-06;11;8;2;46;14;False
2022-01-07;12;7;5;48;14;False
2022-01-08;14;7;2;60;16;False
2022-01-09;10;11;5;62;12;False
2022-01-10;14;5;2;56;21;False
2022-01-11;9;4;3;54;17;False
2022-01-12;8;5;1;52;15;False
2022-01-13;10;4;2;58;22;False
2022-01-14;9;7;3;54;19;False
2022-01-15;16;11;2;66;15;False
2022-01-16;13;14;1;68;16;False
2022-01-17;15;7;5;58;14;False
2022-01-18;9;9;4;53;13;False
2022-01-19;5;24;3;45;17;False
2022-01-20;7;37;3;43;12;False
2022-01-21;12;100;4;49;8;False
2022-01-22;9;90;1;54;12;False
2022-01-23;10;45;2;69;15;False
2022-01-24;7;21;2;60;22;False
2022-01-25;12;12;3;50;11;False
2022-01-26;10;14;4;49;14;False
2022-01-27;7;18;1;48;16;False
2022-01-28;6;17;2;52;11;False
2022-01-29;15;26;0;51;13;False
2022-01-30;16;24;1;54;16;False
2022-01-31;9;9;1;59;18;False
