date;Film adaptations;Marks & Spencer;Waitrose;Employment law;air travel;isPartial
2022-01-01;0;5;100;1;2;False
2022-01-02;0;3;90;1;3;False
2022-01-03;0;4;89;1;2;False
2022-01-04;0;3;49;2;2;False
2022-01-05;0;3;47;2;3;False
2022-01-06;0;2;44;2;3;False
2022-01-07;0;4;50;2;3;False
2022-01-08;0;3;61;1;3;False
2022-01-09;0;3;61;2;2;False
2022-01-10;0;3;45;2;4;False
2022-01-11;0;2;48;3;4;False
2022-01-12;0;3;45;1;3;False
2022-01-13;0;3;48;2;5;False
2022-01-14;0;2;43;2;4;False
2022-01-15;0;2;58;1;3;False
2022-01-16;1;2;64;1;3;False
2022-01-17;0;2;41;2;3;False
2022-01-18;0;2;43;2;3;False
2022-01-19;0;2;39;2;3;False
2022-01-20;0;2;42;2;2;False
2022-01-21;0;2;41;2;2;False
2022-01-22;0;2;54;1;2;False
2022-01-23;0;2;56;1;3;False
2022-01-24;0;3;46;2;4;False
2022-01-25;0;2;44;1;2;False
2022-01-26;0;2;45;2;3;False
2022-01-27;0;2;50;2;3;False
2022-01-28;0;3;44;1;2;False
2022-01-29;0;2;56;1;3;False
2022-01-30;0;2;56;1;3;False
2022-01-31;0;2;44;2;4;False
