date;Royal Opera House;Harvey Weinstein;Sexual harassment;George Frideric Handel;air travel;isPartial
2022-01-01;53;47;16;0;34;False
2022-01-02;26;50;0;0;63;False
2022-01-03;26;34;16;0;51;False
2022-01-04;53;38;9;0;54;False
2022-01-05;43;27;17;5;77;False
2022-01-06;59;32;9;0;61;False
2022-01-07;47;31;12;7;63;False
2022-01-08;85;22;0;0;71;False
2022-01-09;61;26;6;14;55;False
2022-01-10;54;25;21;0;97;False
2022-01-11;57;15;22;0;79;False
2022-01-12;52;30;11;0;67;False
2022-01-13;53;37;16;0;100;False
2022-01-14;73;52;11;5;84;False
2022-01-15;84;22;0;0;66;False
2022-01-16;77;27;15;0;72;False
2022-01-17;58;40;9;0;65;False
2022-01-18;54;24;28;8;59;False
2022-01-19;43;27;11;5;74;False
2022-01-20;53;39;23;0;54;False
2022-01-21;47;20;18;0;38;False
2022-01-22;70;24;15;0;53;False
2022-01-23;58;56;0;0;69;False
2022-01-24;61;44;38;0;97;False
2022-01-25;46;16;8;0;49;False
2022-01-26;46;23;21;9;64;False
2022-01-27;56;18;14;0;71;False
2022-01-28;74;19;9;0;49;False
2022-01-29;63;30;6;0;60;False
2022-01-30;54;15;13;0;71;False
2022-01-31;54;16;6;0;82;False
