date;Rory McIlroy;Population;Sergei Rachmaninov;Poland;air travel;isPartial
2022-01-01;2;79;0;25;3;False
2022-01-02;2;79;0;27;5;False
2022-01-03;2;72;0;27;5;False
2022-01-04;1;100;0;31;6;False
2022-01-05;2;97;1;40;6;False
2022-01-06;2;84;0;33;6;False
2022-01-07;1;86;0;34;6;False
2022-01-08;3;95;0;30;5;False
2022-01-09;2;88;0;29;5;False
2022-01-10;0;88;0;38;8;False
2022-01-11;1;96;0;37;6;False
2022-01-12;1;80;0;36;6;False
2022-01-13;3;87;0;34;7;False
2022-01-14;1;79;0;32;6;False
2022-01-15;1;76;0;29;6;False
2022-01-16;2;90;0;34;7;False
2022-01-17;1;87;1;36;4;False
2022-01-18;1;82;0;32;5;False
2022-01-19;0;80;0;37;5;False
2022-01-20;5;75;0;31;4;False
2022-01-21;8;85;0;37;3;False
2022-01-22;8;78;0;38;5;False
2022-01-23;7;92;0;39;6;False
2022-01-24;2;97;0;50;8;False
2022-01-25;1;89;0;43;4;False
2022-01-26;3;80;0;37;6;False
2022-01-27;6;76;0;39;5;False
2022-01-28;7;75;0;37;4;False
2022-01-29;12;70;0;35;5;False
2022-01-30;24;81;0;38;7;False
2022-01-31;4;72;0;46;7;False
