date;Tennessee;US politics;Fitness;Connecticut;air travel;isPartial
2022-01-01;3;0;78;3;2;False
2022-01-02;4;0;95;3;4;False
2022-01-03;3;0;100;3;3;False
2022-01-04;2;0;98;1;3;False
2022-01-05;4;0;82;2;5;False
2022-01-06;4;1;82;1;4;False
2022-01-07;3;1;75;1;4;False
2022-01-08;4;0;77;4;4;False
2022-01-09;7;0;86;2;3;False
2022-01-10;3;1;92;3;6;False
2022-01-11;4;1;85;1;5;False
2022-01-12;4;1;74;2;4;False
2022-01-13;3;1;69;2;6;False
2022-01-14;3;0;58;2;5;False
2022-01-15;5;0;65;3;4;False
2022-01-16;6;0;83;1;4;False
2022-01-17;6;1;77;2;4;False
2022-01-18;3;1;67;2;4;False
2022-01-19;3;2;65;1;5;False
2022-01-20;3;1;62;2;3;False
2022-01-21;4;0;59;2;2;False
2022-01-22;12;0;59;2;3;False
2022-01-23;8;0;69;2;4;False
2022-01-24;5;1;87;2;6;False
2022-01-25;3;1;70;2;3;False
2022-01-26;3;1;62;1;4;False
2022-01-27;4;1;59;2;4;False
2022-01-28;3;0;61;2;3;False
2022-01-29;4;0;61;2;4;False
2022-01-30;4;0;66;3;4;False
2022-01-31;3;1;75;2;5;False
