date;grenfell tower;hillsborough;georgia, us;michael gove;air travel;isPartial
2022-01-01;0;12;0;1;2;False
2022-01-02;1;92;0;1;3;False
2022-01-03;1;98;0;1;3;False
2022-01-04;0;100;0;1;3;False
2022-01-05;2;98;0;1;4;False
2022-01-06;1;75;0;0;3;False
2022-01-07;2;55;0;1;4;False
2022-01-08;3;43;0;1;4;False
2022-01-09;0;41;0;1;3;False
2022-01-10;5;34;0;14;5;False
2022-01-11;1;27;0;3;4;False
2022-01-12;1;18;0;4;4;False
2022-01-13;1;19;0;4;6;False
2022-01-14;1;14;0;4;5;False
2022-01-15;1;16;0;1;4;False
2022-01-16;1;18;0;2;4;False
2022-01-17;1;13;0;2;4;False
2022-01-18;1;11;0;0;3;False
2022-01-19;1;9;0;2;4;False
2022-01-20;2;10;0;1;3;False
2022-01-21;1;9;0;1;2;False
2022-01-22;0;12;0;0;3;False
2022-01-23;1;11;0;1;4;False
2022-01-24;2;10;0;2;5;False
2022-01-25;1;7;0;0;3;False
2022-01-26;1;9;0;1;4;False
2022-01-27;1;6;0;1;4;False
2022-01-28;1;9;0;2;3;False
2022-01-29;0;10;0;1;3;False
2022-01-30;0;8;0;2;4;False
2022-01-31;1;7;0;2;5;False
