date;nadine dorries;jerusalem;palestinian territories;middle east;air travel;isPartial
2022-01-01;0;25;0;9;6;False
2022-01-02;3;17;0;12;12;False
2022-01-03;1;15;0;13;10;False
2022-01-04;2;18;0;12;10;False
2022-01-05;2;11;1;15;15;False
2022-01-06;0;13;0;12;12;False
2022-01-07;0;15;0;17;12;False
2022-01-08;2;23;1;10;13;False
2022-01-09;2;26;0;12;10;False
2022-01-10;1;23;2;16;18;False
2022-01-11;2;16;0;17;15;False
2022-01-12;8;20;0;12;13;False
2022-01-13;15;23;0;11;19;False
2022-01-14;6;18;1;13;16;False
2022-01-15;2;23;0;50;13;False
2022-01-16;99;26;2;24;14;False
2022-01-17;100;22;0;19;12;False
2022-01-18;28;18;0;12;11;False
2022-01-19;12;17;0;16;14;False
2022-01-20;9;22;1;16;10;False
2022-01-21;6;17;0;14;7;False
2022-01-22;3;20;0;12;10;False
2022-01-23;3;27;1;14;13;False
2022-01-24;11;26;2;18;18;False
2022-01-25;18;21;0;17;9;False
2022-01-26;8;18;0;12;12;False
2022-01-27;7;22;0;18;14;False
2022-01-28;7;24;1;14;9;False
2022-01-29;7;23;0;9;11;False
2022-01-30;3;26;1;15;14;False
2022-01-31;55;20;0;16;16;False
