date;US unemployment and employment data;Visual effects (VFX);Sean Hannity;Tim Cook;air travel;isPartial
2022-01-01;0;0;0;6;34;False
2022-01-02;0;14;0;11;63;False
2022-01-03;0;5;0;17;51;False
2022-01-04;0;0;0;18;54;False
2022-01-05;0;17;23;0;77;False
2022-01-06;0;4;13;15;61;False
2022-01-07;0;0;0;10;63;False
2022-01-08;0;0;0;21;71;False
2022-01-09;0;0;5;9;55;False
2022-01-10;0;0;0;10;97;False
2022-01-11;0;0;4;15;79;False
2022-01-12;0;0;0;6;67;False
2022-01-13;0;0;0;30;100;False
2022-01-14;0;6;0;0;84;False
2022-01-15;0;0;0;0;66;False
2022-01-16;0;0;0;0;72;False
2022-01-17;0;0;0;5;65;False
2022-01-18;0;0;12;7;59;False
2022-01-19;0;0;0;0;74;False
2022-01-20;0;0;6;0;54;False
2022-01-21;0;0;0;9;38;False
2022-01-22;0;0;0;0;53;False
2022-01-23;0;0;0;30;69;False
2022-01-24;0;0;0;22;97;False
2022-01-25;0;0;0;12;49;False
2022-01-26;0;0;0;15;64;False
2022-01-27;0;0;0;0;71;False
2022-01-28;0;0;0;0;49;False
2022-01-29;0;4;0;13;60;False
2022-01-30;0;0;0;0;71;False
2022-01-31;0;6;0;4;82;False
