date;recep tayyip erdogan;aviation accidents and incidents;ukraine iran plane crash;iran;air travel;isPartial
2022-01-01;0;0;0;76;12;False
2022-01-02;0;2;0;52;23;False
2022-01-03;5;7;0;71;19;False
2022-01-04;0;0;0;70;20;False
2022-01-05;2;0;0;61;28;False
2022-01-06;0;0;0;61;23;False
2022-01-07;0;0;0;61;23;False
2022-01-08;0;0;0;58;26;False
2022-01-09;0;0;0;67;20;False
2022-01-10;0;2;0;70;36;False
2022-01-11;2;0;0;58;29;False
2022-01-12;0;0;0;66;25;False
2022-01-13;0;6;0;71;37;False
2022-01-14;3;0;0;53;31;False
2022-01-15;0;0;0;58;24;False
2022-01-16;0;0;0;77;27;False
2022-01-17;2;0;0;67;24;False
2022-01-18;2;3;0;62;22;False
2022-01-19;2;0;0;52;28;False
2022-01-20;2;0;0;71;20;False
2022-01-21;0;0;0;68;14;False
2022-01-22;0;0;0;79;20;False
2022-01-23;3;0;0;81;25;False
2022-01-24;0;0;0;80;36;False
2022-01-25;0;0;0;60;18;False
2022-01-26;0;7;0;72;24;False
2022-01-27;2;0;0;100;26;False
2022-01-28;0;5;0;74;18;False
2022-01-29;0;0;0;59;22;False
2022-01-30;2;0;0;61;26;False
2022-01-31;0;0;0;71;30;False
