date;video games;katie price;regina king;nazanin zaghari-ratcliffe;air travel;isPartial
2022-01-01;8;12;0;0;2;False
2022-01-02;7;12;0;0;4;False
2022-01-03;7;9;1;0;3;False
2022-01-04;6;22;0;1;4;False
2022-01-05;7;13;0;0;5;False
2022-01-06;7;10;0;0;4;False
2022-01-07;6;13;1;0;4;False
2022-01-08;9;17;0;0;5;False
2022-01-09;6;19;0;1;4;False
2022-01-10;6;20;0;0;6;False
2022-01-11;6;26;0;1;5;False
2022-01-12;5;21;0;1;4;False
2022-01-13;6;17;1;1;7;False
2022-01-14;6;11;0;0;6;False
2022-01-15;8;22;1;0;4;False
2022-01-16;4;18;0;0;5;False
2022-01-17;6;12;0;0;4;False
2022-01-18;8;12;0;0;4;False
2022-01-19;5;14;1;0;5;False
2022-01-20;5;19;0;0;4;False
2022-01-21;6;17;0;0;3;False
2022-01-22;6;45;53;0;4;False
2022-01-23;6;78;34;0;5;False
2022-01-24;7;51;8;0;6;False
2022-01-25;7;30;4;1;3;False
2022-01-26;8;100;3;0;4;False
2022-01-27;6;86;1;0;5;False
2022-01-28;6;51;2;0;3;False
2022-01-29;7;52;1;0;4;False
2022-01-30;6;37;0;0;5;False
2022-01-31;7;28;1;0;6;False
