date;jerusalem;backstage podcast;star hobson;kurt cobain;air travel;isPartial
2022-01-01;73;0;9;20;17;False
2022-01-02;54;0;6;36;36;False
2022-01-03;55;0;0;28;34;False
2022-01-04;50;0;10;29;37;False
2022-01-05;44;0;10;22;47;False
2022-01-06;48;0;9;19;38;False
2022-01-07;44;0;12;22;42;False
2022-01-08;71;0;14;40;40;False
2022-01-09;93;0;11;28;30;False
2022-01-10;76;0;11;14;50;False
2022-01-11;48;0;6;24;41;False
2022-01-12;72;0;27;21;48;False
2022-01-13;71;0;17;21;49;False
2022-01-14;63;0;0;17;49;False
2022-01-15;69;0;0;25;41;False
2022-01-16;78;0;9;26;47;False
2022-01-17;65;0;8;15;34;False
2022-01-18;55;0;0;28;36;False
2022-01-19;58;0;0;22;48;False
2022-01-20;72;0;5;17;21;False
2022-01-21;50;0;8;22;15;False
2022-01-22;66;0;5;20;40;False
2022-01-23;84;0;3;25;45;False
2022-01-24;84;0;7;38;48;False
2022-01-25;59;0;17;14;28;False
2022-01-26;66;0;17;22;38;False
2022-01-27;67;0;4;21;31;False
2022-01-28;74;0;3;35;28;False
2022-01-29;77;0;5;33;30;False
2022-01-30;100;0;6;19;38;False
2022-01-31;68;0;5;17;50;False
