date;pacific ocean;belgium;dominic cummings;cyber-security;air travel;isPartial
2022-01-01;8;39;1;0;8;False
2022-01-02;6;55;3;0;16;False
2022-01-03;4;49;4;0;13;False
2022-01-04;3;52;6;0;12;False
2022-01-05;0;59;1;1;20;False
2022-01-06;6;60;4;0;16;False
2022-01-07;3;50;12;1;16;False
2022-01-08;3;55;11;0;15;False
2022-01-09;4;62;2;0;9;False
2022-01-10;3;62;12;0;24;False
2022-01-11;6;62;24;0;16;False
2022-01-12;2;63;52;0;17;False
2022-01-13;9;55;37;0;20;False
2022-01-14;2;49;42;1;19;False
2022-01-15;16;47;18;0;18;False
2022-01-16;14;75;22;0;20;False
2022-01-17;10;56;56;0;12;False
2022-01-18;4;58;100;0;16;False
2022-01-19;4;56;35;3;18;False
2022-01-20;8;62;15;0;11;False
2022-01-21;5;64;13;0;9;False
2022-01-22;3;56;14;0;13;False
2022-01-23;0;67;9;0;16;False
2022-01-24;6;86;46;0;21;False
2022-01-25;4;65;18;2;12;False
2022-01-26;0;56;20;0;16;False
2022-01-27;4;60;10;0;14;False
2022-01-28;4;55;16;0;11;False
2022-01-29;4;59;6;1;14;False
2022-01-30;4;66;20;0;18;False
2022-01-31;3;67;45;0;21;False
