date;Barnaby Joyce;Press freedom;Unite;Care Quality Commission (CQC);air travel;isPartial
2022-01-01;0;0;50;0;22;False
2022-01-02;0;9;53;5;41;False
2022-01-03;0;0;68;0;33;False
2022-01-04;0;3;78;3;35;False
2022-01-05;0;0;76;0;50;False
2022-01-06;0;0;79;0;40;False
2022-01-07;6;0;70;0;41;False
2022-01-08;0;4;58;10;46;False
2022-01-09;0;0;61;0;36;False
2022-01-10;0;27;89;6;63;False
2022-01-11;0;0;81;0;51;False
2022-01-12;0;0;74;4;44;False
2022-01-13;0;0;67;0;65;False
2022-01-14;0;7;77;3;54;False
2022-01-15;5;0;60;0;43;False
2022-01-16;6;0;62;6;47;False
2022-01-17;0;0;92;0;42;False
2022-01-18;6;0;72;4;38;False
2022-01-19;4;0;80;6;48;False
2022-01-20;0;3;85;4;35;False
2022-01-21;0;3;69;5;25;False
2022-01-22;0;5;60;12;35;False
2022-01-23;3;0;61;0;45;False
2022-01-24;4;3;97;4;63;False
2022-01-25;4;0;100;0;32;False
2022-01-26;0;5;91;0;41;False
2022-01-27;0;0;72;0;46;False
2022-01-28;0;5;79;0;32;False
2022-01-29;0;0;61;4;39;False
2022-01-30;0;0;46;0;46;False
2022-01-31;0;0;93;0;54;False
