date;Kae Tempest;Veganism;Vegetarianism;Diets and dieting;air travel;isPartial
2022-01-01;7;15;0;0;34;False
2022-01-02;0;11;7;0;63;False
2022-01-03;0;18;0;0;51;False
2022-01-04;0;17;0;0;54;False
2022-01-05;0;9;9;0;77;False
2022-01-06;0;10;4;0;61;False
2022-01-07;6;0;0;0;63;False
2022-01-08;0;9;0;0;71;False
2022-01-09;0;12;5;0;55;False
2022-01-10;19;5;0;0;97;False
2022-01-11;14;0;0;0;79;False
2022-01-12;0;20;0;0;67;False
2022-01-13;0;15;0;0;100;False
2022-01-14;18;14;4;0;84;False
2022-01-15;19;17;0;0;66;False
2022-01-16;23;7;0;0;72;False
2022-01-17;0;17;0;0;65;False
2022-01-18;17;12;19;0;59;False
2022-01-19;19;10;0;0;74;False
2022-01-20;0;5;0;0;54;False
2022-01-21;25;20;0;0;38;False
2022-01-22;12;0;0;0;53;False
2022-01-23;13;12;0;0;69;False
2022-01-24;24;10;0;0;97;False
2022-01-25;8;0;0;0;49;False
2022-01-26;0;23;0;0;64;False
2022-01-27;0;13;8;0;71;False
2022-01-28;21;0;0;0;49;False
2022-01-29;16;13;0;0;60;False
2022-01-30;0;0;0;0;71;False
2022-01-31;11;4;0;0;82;False
