date;Years & Years;Olly Alexander;Music documentary;Opera North;air travel;isPartial
2022-01-01;9;100;0;0;2;False
2022-01-02;1;9;0;0;4;False
2022-01-03;1;3;1;0;3;False
2022-01-04;0;3;1;1;3;False
2022-01-05;1;2;0;0;4;False
2022-01-06;1;2;0;1;4;False
2022-01-07;0;3;0;0;4;False
2022-01-08;0;5;0;0;4;False
2022-01-09;1;3;0;0;3;False
2022-01-10;0;1;1;1;6;False
2022-01-11;0;1;0;0;5;False
2022-01-12;0;1;1;0;4;False
2022-01-13;1;2;1;1;6;False
2022-01-14;1;1;0;0;5;False
2022-01-15;1;3;0;0;4;False
2022-01-16;0;2;0;1;4;False
2022-01-17;0;0;0;0;4;False
2022-01-18;0;1;0;1;3;False
2022-01-19;0;1;0;1;4;False
2022-01-20;1;1;0;0;3;False
2022-01-21;1;6;0;0;2;False
2022-01-22;1;7;1;1;3;False
2022-01-23;0;2;0;0;4;False
2022-01-24;1;4;1;1;6;False
2022-01-25;1;4;0;1;3;False
2022-01-26;1;2;0;1;4;False
2022-01-27;1;1;0;1;4;False
2022-01-28;0;2;0;1;3;False
2022-01-29;1;24;0;1;3;False
2022-01-30;0;7;0;0;4;False
2022-01-31;1;2;1;0;5;False
