date;kill the bill protests;football;real madrid;aldi;air travel;isPartial
2022-01-01;0;81;1;19;0;False
2022-01-02;0;87;2;16;0;False
2022-01-03;0;53;1;21;0;False
2022-01-04;0;40;1;8;0;False
2022-01-05;0;44;2;7;0;False
2022-01-06;0;33;1;8;0;False
2022-01-07;0;43;1;7;0;False
2022-01-08;0;95;2;9;0;False
2022-01-09;0;83;1;11;0;False
2022-01-10;0;53;1;8;0;False
2022-01-11;0;46;1;7;0;False
2022-01-12;0;53;7;7;0;False
2022-01-13;0;52;2;7;0;False
2022-01-14;0;41;1;7;0;False
2022-01-15;0;100;1;10;0;False
2022-01-16;0;78;4;11;0;False
2022-01-17;0;44;1;8;0;False
2022-01-18;0;53;1;7;0;False
2022-01-19;0;55;1;7;0;False
2022-01-20;0;46;2;7;0;False
2022-01-21;0;46;1;7;0;False
2022-01-22;0;96;1;9;0;False
2022-01-23;0;84;2;11;0;False
2022-01-24;0;45;1;9;0;False
2022-01-25;0;44;1;8;0;False
2022-01-26;0;43;1;8;0;False
2022-01-27;0;35;0;8;0;False
2022-01-28;0;37;1;8;0;False
2022-01-29;0;84;1;9;0;False
2022-01-30;0;59;0;10;0;False
2022-01-31;0;47;1;8;0;False
