date;west midlands;county durham;australian open, 2022;british airways;air travel;isPartial
2022-01-01;20;5;0;61;2;False
2022-01-02;19;5;0;74;4;False
2022-01-03;23;5;0;81;4;False
2022-01-04;27;7;0;84;4;False
2022-01-05;20;8;0;74;5;False
2022-01-06;20;7;0;81;4;False
2022-01-07;20;8;0;79;5;False
2022-01-08;20;5;0;86;5;False
2022-01-09;20;6;0;95;3;False
2022-01-10;22;6;0;94;6;False
2022-01-11;22;7;0;87;5;False
2022-01-12;22;7;0;82;5;False
2022-01-13;24;5;0;77;5;False
2022-01-14;20;6;0;70;6;False
2022-01-15;21;6;0;72;5;False
2022-01-16;21;8;0;100;5;False
2022-01-17;23;6;0;86;4;False
2022-01-18;21;8;0;79;4;False
2022-01-19;21;7;0;73;5;False
2022-01-20;21;7;0;73;2;False
2022-01-21;34;7;0;64;2;False
2022-01-22;21;4;0;73;4;False
2022-01-23;25;6;0;94;5;False
2022-01-24;26;9;0;99;5;False
2022-01-25;21;6;0;76;3;False
2022-01-26;24;7;0;66;4;False
2022-01-27;19;5;0;56;4;False
2022-01-28;23;6;0;60;3;False
2022-01-29;22;7;0;63;3;False
2022-01-30;22;8;0;73;4;False
2022-01-31;26;8;0;78;6;False
