date;Kyriakos Mitsotakis;Alexis Tsipras;Chris Whitty;Sinn Féin;air travel;isPartial
2022-01-01;0;0;100;0;12;False
2022-01-02;0;2;23;0;21;False
2022-01-03;0;0;7;0;17;False
2022-01-04;0;0;37;0;18;False
2022-01-05;2;0;16;0;26;False
2022-01-06;0;0;9;0;21;False
2022-01-07;0;0;9;0;22;False
2022-01-08;0;3;9;0;24;False
2022-01-09;0;0;8;0;19;False
2022-01-10;0;0;8;2;33;False
2022-01-11;0;0;7;0;27;False
2022-01-12;0;4;8;0;23;False
2022-01-13;0;0;20;0;34;False
2022-01-14;5;0;10;0;29;False
2022-01-15;0;6;9;3;23;False
2022-01-16;3;0;8;3;25;False
2022-01-17;0;2;3;0;22;False
2022-01-18;0;0;4;0;20;False
2022-01-19;0;0;9;0;25;False
2022-01-20;0;0;12;2;18;False
2022-01-21;2;0;7;0;13;False
2022-01-22;0;0;2;2;18;False
2022-01-23;0;0;4;2;23;False
2022-01-24;0;0;4;0;33;False
2022-01-25;0;0;12;0;17;False
2022-01-26;2;0;19;0;22;False
2022-01-27;0;0;62;0;24;False
2022-01-28;0;0;14;0;17;False
2022-01-29;0;0;7;2;20;False
2022-01-30;2;0;5;4;24;False
2022-01-31;0;0;5;4;28;False
