date;Miami;R&B;Nottingham;Alistair McDowall;air travel;isPartial
2022-01-01;7;1;38;0;1;False
2022-01-02;8;1;41;0;1;False
2022-01-03;8;0;39;0;1;False
2022-01-04;6;1;43;0;1;False
2022-01-05;6;0;41;0;1;False
2022-01-06;7;1;41;0;1;False
2022-01-07;7;1;43;0;1;False
2022-01-08;7;1;47;0;1;False
2022-01-09;9;1;100;0;1;False
2022-01-10;9;1;51;0;2;False
2022-01-11;7;1;43;0;1;False
2022-01-12;7;1;42;0;1;False
2022-01-13;7;0;47;0;2;False
2022-01-14;6;1;42;0;1;False
2022-01-15;9;1;51;0;1;False
2022-01-16;9;1;44;0;1;False
2022-01-17;7;1;46;0;1;False
2022-01-18;6;1;42;0;1;False
2022-01-19;6;1;38;0;1;False
2022-01-20;6;1;42;0;1;False
2022-01-21;7;1;44;0;1;False
2022-01-22;7;1;59;0;1;False
2022-01-23;8;1;42;0;1;False
2022-01-24;8;1;53;0;2;False
2022-01-25;6;1;49;0;1;False
2022-01-26;6;1;42;0;1;False
2022-01-27;6;0;43;0;1;False
2022-01-28;7;0;49;0;1;False
2022-01-29;8;1;48;0;1;False
2022-01-30;7;1;51;0;1;False
2022-01-31;7;1;64;0;1;False
