date;Admissions;A-levels;Exams;National living wage;air travel;isPartial
2022-01-01;38;0;32;0;9;False
2022-01-02;51;1;47;5;17;False
2022-01-03;47;0;61;4;14;False
2022-01-04;74;0;61;4;15;False
2022-01-05;81;0;69;10;21;False
2022-01-06;70;0;68;6;17;False
2022-01-07;62;0;60;8;17;False
2022-01-08;34;2;51;8;19;False
2022-01-09;44;2;79;4;15;False
2022-01-10;100;0;97;11;26;False
2022-01-11;82;4;86;8;21;False
2022-01-12;85;0;72;8;18;False
2022-01-13;81;0;81;13;27;False
2022-01-14;68;2;55;8;23;False
2022-01-15;33;2;50;4;18;False
2022-01-16;33;0;56;0;20;False
2022-01-17;51;0;75;9;18;False
2022-01-18;49;0;60;11;16;False
2022-01-19;48;0;58;10;20;False
2022-01-20;48;0;54;12;15;False
2022-01-21;46;1;56;13;10;False
2022-01-22;19;0;45;7;14;False
2022-01-23;20;0;49;5;19;False
2022-01-24;55;0;77;9;26;False
2022-01-25;56;0;72;8;13;False
2022-01-26;47;0;69;10;17;False
2022-01-27;46;0;54;9;19;False
2022-01-28;40;0;52;9;13;False
2022-01-29;22;0;32;4;16;False
2022-01-30;26;0;43;7;19;False
2022-01-31;53;0;63;10;22;False
