date;ECB;US personal finance;Dylan Alcott;Bereavement;air travel;isPartial
2022-01-01;4;0;0;25;15;False
2022-01-02;11;0;0;34;28;False
2022-01-03;7;0;0;40;23;False
2022-01-04;18;0;3;84;24;False
2022-01-05;10;0;0;82;35;False
2022-01-06;13;0;0;68;28;False
2022-01-07;14;0;0;57;29;False
2022-01-08;5;0;2;45;32;False
2022-01-09;14;0;0;48;25;False
2022-01-10;10;0;0;86;44;False
2022-01-11;18;0;0;67;36;False
2022-01-12;18;0;0;73;31;False
2022-01-13;12;0;4;96;45;False
2022-01-14;18;0;0;61;38;False
2022-01-15;7;0;0;42;30;False
2022-01-16;19;0;0;43;33;False
2022-01-17;23;0;0;77;29;False
2022-01-18;10;0;0;76;27;False
2022-01-19;13;0;0;65;34;False
2022-01-20;26;0;0;68;25;False
2022-01-21;21;0;0;69;17;False
2022-01-22;10;0;0;35;24;False
2022-01-23;10;0;5;38;31;False
2022-01-24;20;0;11;100;44;False
2022-01-25;18;0;6;79;22;False
2022-01-26;18;0;7;69;29;False
2022-01-27;16;0;23;71;32;False
2022-01-28;18;0;11;77;22;False
2022-01-29;11;0;4;30;27;False
2022-01-30;3;0;0;37;32;False
2022-01-31;21;0;3;87;37;False
