date;Knitting;Julia Gillard;AstraZeneca;Lauryn Hill;air travel;isPartial
2022-01-01;76;0;17;29;6;False
2022-01-02;89;3;15;3;10;False
2022-01-03;82;0;13;6;8;False
2022-01-04;84;1;26;2;9;False
2022-01-05;69;0;17;0;13;False
2022-01-06;72;0;24;3;10;False
2022-01-07;82;0;24;2;10;False
2022-01-08;100;1;16;4;12;False
2022-01-09;95;0;11;3;9;False
2022-01-10;80;0;23;0;16;False
2022-01-11;73;2;22;3;13;False
2022-01-12;66;3;16;3;11;False
2022-01-13;74;1;31;2;17;False
2022-01-14;76;0;21;0;14;False
2022-01-15;87;0;11;1;11;False
2022-01-16;84;0;14;5;12;False
2022-01-17;67;0;21;0;11;False
2022-01-18;72;0;19;1;10;False
2022-01-19;66;0;19;2;12;False
2022-01-20;71;0;18;0;9;False
2022-01-21;68;0;23;3;6;False
2022-01-22;80;0;12;2;9;False
2022-01-23;81;0;8;4;11;False
2022-01-24;91;0;22;2;16;False
2022-01-25;72;0;18;0;8;False
2022-01-26;66;0;18;5;11;False
2022-01-27;60;0;19;0;12;False
2022-01-28;73;1;19;2;8;False
2022-01-29;74;0;9;3;10;False
2022-01-30;76;0;11;3;12;False
2022-01-31;70;0;20;2;14;False
