date;Cate Blanchett;The Souvenir;Joanna Hogg;Tilda Swinton;air travel;isPartial
2022-01-01;26;1;1;5;6;False
2022-01-02;26;3;1;7;11;False
2022-01-03;15;1;0;3;9;False
2022-01-04;12;0;0;4;9;False
2022-01-05;11;0;1;1;13;False
2022-01-06;10;2;1;3;10;False
2022-01-07;15;3;0;14;11;False
2022-01-08;17;1;0;6;12;False
2022-01-09;13;1;0;6;9;False
2022-01-10;8;4;0;2;16;False
2022-01-11;4;0;0;3;13;False
2022-01-12;7;0;0;4;11;False
2022-01-13;8;2;0;2;17;False
2022-01-14;100;3;0;3;14;False
2022-01-15;48;1;0;7;11;False
2022-01-16;25;2;0;2;12;False
2022-01-17;15;3;0;6;11;False
2022-01-18;25;3;0;5;10;False
2022-01-19;12;1;0;2;13;False
2022-01-20;7;1;0;3;9;False
2022-01-21;10;3;0;3;6;False
2022-01-22;17;7;0;3;9;False
2022-01-23;11;37;2;7;12;False
2022-01-24;6;19;2;5;16;False
2022-01-25;8;6;0;1;8;False
2022-01-26;4;9;2;4;11;False
2022-01-27;7;5;1;3;12;False
2022-01-28;7;8;2;2;8;False
2022-01-29;8;18;0;6;10;False
2022-01-30;4;10;1;5;12;False
2022-01-31;6;6;0;2;14;False
