date;tokyo 2020 olympics;kashmir;new york city;sir lindsay hoyle;air travel;isPartial
2022-01-01;0;49;59;0;21;False
2022-01-02;0;34;79;3;40;False
2022-01-03;5;41;63;0;32;False
2022-01-04;0;32;49;0;34;False
2022-01-05;0;32;64;0;49;False
2022-01-06;0;26;46;0;39;False
2022-01-07;5;43;72;0;40;False
2022-01-08;3;50;80;0;45;False
2022-01-09;5;28;77;12;35;False
2022-01-10;0;37;78;6;61;False
2022-01-11;3;28;51;0;50;False
2022-01-12;0;24;51;12;43;False
2022-01-13;0;22;63;4;63;False
2022-01-14;3;26;57;12;53;False
2022-01-15;0;40;100;0;42;False
2022-01-16;0;38;78;5;46;False
2022-01-17;0;20;47;3;41;False
2022-01-18;3;39;70;3;37;False
2022-01-19;4;21;44;8;47;False
2022-01-20;2;32;46;0;34;False
2022-01-21;0;29;73;0;24;False
2022-01-22;0;40;78;0;34;False
2022-01-23;3;26;68;0;43;False
2022-01-24;0;39;81;3;61;False
2022-01-25;0;23;50;0;31;False
2022-01-26;0;36;59;7;40;False
2022-01-27;0;21;54;8;45;False
2022-01-28;0;26;55;2;31;False
2022-01-29;0;43;89;0;38;False
2022-01-30;0;39;85;0;45;False
2022-01-31;0;28;49;11;52;False
