date;Manchester United;Laurence Fox;Championship;Derby County;air travel;isPartial
2022-01-01;30;2;76;7;1;False
2022-01-02;31;2;100;7;2;False
2022-01-03;84;1;93;20;2;False
2022-01-04;26;1;35;8;2;False
2022-01-05;25;1;21;7;2;False
2022-01-06;26;2;16;7;2;False
2022-01-07;27;1;20;12;2;False
2022-01-08;29;1;41;18;2;False
2022-01-09;32;1;37;8;2;False
2022-01-10;96;2;19;7;3;False
2022-01-11;34;1;28;9;2;False
2022-01-12;24;1;20;8;2;False
2022-01-13;27;2;20;9;3;False
2022-01-14;22;1;22;15;2;False
2022-01-15;77;1;83;30;2;False
2022-01-16;29;1;56;25;2;False
2022-01-17;23;2;26;20;2;False
2022-01-18;21;1;31;17;2;False
2022-01-19;56;1;34;15;2;False
2022-01-20;32;2;22;18;2;False
2022-01-21;24;1;26;21;1;False
2022-01-22;74;1;71;34;1;False
2022-01-23;31;2;40;12;2;False
2022-01-24;25;1;38;15;3;False
2022-01-25;22;1;41;16;1;False
2022-01-26;22;1;29;18;2;False
2022-01-27;21;2;20;13;2;False
2022-01-28;23;2;34;15;2;False
2022-01-29;28;1;81;15;2;False
2022-01-30;56;8;67;52;2;False
2022-01-31;43;15;31;19;2;False
