date;Rock climbing;Kew Gardens;Wild flowers;Tattoos;air travel;isPartial
2022-01-01;9;24;3;71;5;False
2022-01-02;11;20;4;66;9;False
2022-01-03;10;18;6;67;7;False
2022-01-04;8;13;4;55;8;False
2022-01-05;5;16;3;71;11;False
2022-01-06;5;11;4;59;9;False
2022-01-07;6;14;3;70;9;False
2022-01-08;9;16;4;82;10;False
2022-01-09;7;20;6;78;8;False
2022-01-10;7;12;4;67;14;False
2022-01-11;7;9;5;74;11;False
2022-01-12;5;13;6;67;9;False
2022-01-13;7;10;6;77;14;False
2022-01-14;7;12;3;68;12;False
2022-01-15;7;15;6;100;9;False
2022-01-16;8;15;6;90;10;False
2022-01-17;5;11;6;67;9;False
2022-01-18;6;9;4;66;8;False
2022-01-19;5;9;6;61;10;False
2022-01-20;4;11;4;65;8;False
2022-01-21;6;12;5;68;5;False
2022-01-22;8;17;5;81;7;False
2022-01-23;9;14;9;81;10;False
2022-01-24;10;11;6;75;14;False
2022-01-25;7;12;4;68;7;False
2022-01-26;5;9;5;67;9;False
2022-01-27;5;8;7;65;10;False
2022-01-28;5;13;6;64;7;False
2022-01-29;8;15;4;70;8;False
2022-01-30;8;17;5;71;10;False
2022-01-31;6;13;4;62;12;False
