date;Jana Bennett;iPlayer;BBC Four;BBC Three;air travel;isPartial
2022-01-01;0;84;2;2;1;False
2022-01-02;0;82;2;1;3;False
2022-01-03;0;82;22;1;2;False
2022-01-04;0;84;19;2;2;False
2022-01-05;0;78;19;1;3;False
2022-01-06;0;80;13;2;3;False
2022-01-07;0;80;8;1;3;False
2022-01-08;0;100;8;1;3;False
2022-01-09;0;98;8;1;2;False
2022-01-10;0;100;5;1;4;False
2022-01-11;0;78;5;2;3;False
2022-01-12;0;77;4;2;3;False
2022-01-13;1;90;4;2;4;False
2022-01-14;1;74;3;1;4;False
2022-01-15;1;89;3;1;3;False
2022-01-16;0;94;5;1;3;False
2022-01-17;0;72;2;2;3;False
2022-01-18;0;70;3;1;3;False
2022-01-19;0;67;2;1;3;False
2022-01-20;0;72;2;1;2;False
2022-01-21;0;71;3;2;2;False
2022-01-22;1;74;2;1;2;False
2022-01-23;0;71;2;1;3;False
2022-01-24;0;76;3;2;4;False
2022-01-25;0;71;2;2;2;False
2022-01-26;0;73;1;3;3;False
2022-01-27;0;69;2;3;3;False
2022-01-28;0;77;2;2;2;False
2022-01-29;1;77;2;2;3;False
2022-01-30;0;73;1;3;3;False
2022-01-31;0;75;1;2;4;False
