date;Peru;Iran;Argentina;Chile;air travel;isPartial
2022-01-01;27;36;23;23;6;False
2022-01-02;28;25;26;24;11;False
2022-01-03;22;33;18;17;9;False
2022-01-04;23;33;32;21;9;False
2022-01-05;23;29;23;24;13;False
2022-01-06;23;29;28;20;11;False
2022-01-07;29;29;23;17;11;False
2022-01-08;34;28;28;18;12;False
2022-01-09;27;32;31;15;10;False
2022-01-10;26;33;31;23;17;False
2022-01-11;22;28;33;21;14;False
2022-01-12;23;31;34;15;12;False
2022-01-13;26;34;32;24;18;False
2022-01-14;25;25;21;19;15;False
2022-01-15;29;28;29;25;12;False
2022-01-16;34;37;35;21;13;False
2022-01-17;38;32;25;24;11;False
2022-01-18;27;29;21;22;10;False
2022-01-19;25;25;23;23;13;False
2022-01-20;33;34;33;15;9;False
2022-01-21;33;32;27;20;7;False
2022-01-22;30;38;100;17;9;False
2022-01-23;29;38;45;20;12;False
2022-01-24;31;38;41;24;17;False
2022-01-25;27;29;29;20;9;False
2022-01-26;25;34;29;21;11;False
2022-01-27;35;47;35;30;13;False
2022-01-28;82;35;93;59;9;False
2022-01-29;49;28;51;24;11;False
2022-01-30;27;29;33;18;13;False
2022-01-31;28;34;32;20;14;False
