date;harry potter;oregon;bolivia;universal credit;air travel;isPartial
2022-01-01;100;1;0;20;0;False
2022-01-02;80;1;1;21;1;False
2022-01-03;55;1;0;31;1;False
2022-01-04;39;1;0;68;1;False
2022-01-05;26;1;0;68;1;False
2022-01-06;24;1;0;58;1;False
2022-01-07;24;1;0;53;1;False
2022-01-08;31;1;0;23;1;False
2022-01-09;28;1;0;23;1;False
2022-01-10;21;1;0;73;1;False
2022-01-11;19;1;0;56;1;False
2022-01-12;18;1;0;54;1;False
2022-01-13;18;1;0;62;1;False
2022-01-14;17;1;1;47;1;False
2022-01-15;23;1;1;24;1;False
2022-01-16;26;1;0;25;1;False
2022-01-17;17;1;0;67;1;False
2022-01-18;14;1;1;57;1;False
2022-01-19;14;1;0;55;1;False
2022-01-20;13;1;0;60;1;False
2022-01-21;15;1;0;49;0;False
2022-01-22;20;1;0;23;1;False
2022-01-23;20;1;0;21;1;False
2022-01-24;17;1;0;67;1;False
2022-01-25;13;1;0;52;1;False
2022-01-26;14;1;0;66;1;False
2022-01-27;14;1;0;59;1;False
2022-01-28;15;1;1;56;1;False
2022-01-29;19;1;1;26;1;False
2022-01-30;18;1;0;24;1;False
2022-01-31;13;1;0;67;1;False
