date;Desert Island Discs;Hinkley Point C;MI5;Young Vic;air travel;isPartial
2022-01-01;5;0;12;3;8;False
2022-01-02;12;0;13;3;14;False
2022-01-03;6;0;13;5;12;False
2022-01-04;7;0;9;5;12;False
2022-01-05;3;1;8;5;18;False
2022-01-06;5;2;9;3;14;False
2022-01-07;8;0;10;5;14;False
2022-01-08;4;0;6;2;16;False
2022-01-09;25;0;8;4;13;False
2022-01-10;10;0;5;5;22;False
2022-01-11;5;2;7;5;18;False
2022-01-12;6;4;8;6;15;False
2022-01-13;4;1;100;4;23;False
2022-01-14;12;1;12;4;19;False
2022-01-15;6;0;16;5;15;False
2022-01-16;9;0;13;2;16;False
2022-01-17;6;1;9;4;15;False
2022-01-18;5;0;17;1;13;False
2022-01-19;7;1;11;5;17;False
2022-01-20;5;2;12;7;12;False
2022-01-21;10;1;7;4;9;False
2022-01-22;7;0;12;8;12;False
2022-01-23;23;0;15;3;16;False
2022-01-24;12;1;15;4;22;False
2022-01-25;3;1;8;4;11;False
2022-01-26;6;1;6;1;15;False
2022-01-27;5;2;9;2;16;False
2022-01-28;17;2;12;4;11;False
2022-01-29;25;3;14;0;14;False
2022-01-30;16;2;6;0;16;False
2022-01-31;9;5;8;3;19;False
