date;Line of Duty;DIY;Brunch;Vegan food and drink;air travel;isPartial
2022-01-01;15;57;47;0;3;False
2022-01-02;15;66;64;0;6;False
2022-01-03;14;69;50;0;5;False
2022-01-04;14;63;44;0;5;False
2022-01-05;10;64;43;0;8;False
2022-01-06;12;54;48;0;6;False
2022-01-07;11;57;53;0;6;False
2022-01-08;14;71;70;0;7;False
2022-01-09;18;77;100;0;5;False
2022-01-10;14;62;62;0;10;False
2022-01-11;9;58;54;0;8;False
2022-01-12;11;60;53;0;7;False
2022-01-13;13;62;63;0;10;False
2022-01-14;11;56;61;0;8;False
2022-01-15;18;76;80;0;7;False
2022-01-16;22;81;98;0;7;False
2022-01-17;11;68;56;0;6;False
2022-01-18;26;59;53;0;6;False
2022-01-19;53;58;51;0;7;False
2022-01-20;30;58;53;0;5;False
2022-01-21;25;56;53;0;4;False
2022-01-22;24;72;87;0;5;False
2022-01-23;28;84;85;0;7;False
2022-01-24;26;72;72;0;10;False
2022-01-25;16;58;54;0;5;False
2022-01-26;14;58;54;0;6;False
2022-01-27;14;56;51;0;7;False
2022-01-28;12;64;62;0;5;False
2022-01-29;18;80;87;0;6;False
2022-01-30;20;78;77;0;7;False
2022-01-31;12;63;56;0;8;False
