date;Electrocomponents;Anti-war movement;Sally Rooney;Antoine de Saint-Exupéry;air travel;isPartial
2022-01-01;0;0;16;0;34;False
2022-01-02;7;0;17;0;63;False
2022-01-03;0;0;16;0;51;False
2022-01-04;19;0;0;0;54;False
2022-01-05;9;0;11;0;77;False
2022-01-06;6;0;26;0;61;False
2022-01-07;9;0;13;0;63;False
2022-01-08;0;0;18;4;71;False
2022-01-09;0;0;21;8;55;False
2022-01-10;0;0;0;0;97;False
2022-01-11;14;0;4;0;79;False
2022-01-12;10;0;10;0;67;False
2022-01-13;0;0;13;29;100;False
2022-01-14;14;0;9;0;84;False
2022-01-15;0;0;19;0;66;False
2022-01-16;0;0;16;0;72;False
2022-01-17;5;0;0;0;65;False
2022-01-18;0;0;6;0;59;False
2022-01-19;17;0;27;0;74;False
2022-01-20;0;0;7;0;54;False
2022-01-21;6;0;4;0;38;False
2022-01-22;7;0;16;0;53;False
2022-01-23;0;0;7;0;69;False
2022-01-24;4;0;0;9;97;False
2022-01-25;6;0;10;0;49;False
2022-01-26;14;0;6;0;64;False
2022-01-27;0;0;20;0;71;False
2022-01-28;5;0;4;7;49;False
2022-01-29;0;0;8;0;60;False
2022-01-30;0;0;0;0;71;False
2022-01-31;0;0;0;0;82;False
