date;Bruce Springsteen;Guantánamo Bay;CIA;Torture;air travel;isPartial
2022-01-01;59;0;54;67;33;False
2022-01-02;38;0;57;76;61;False
2022-01-03;32;0;58;100;50;False
2022-01-04;44;6;70;72;53;False
2022-01-05;38;0;62;64;75;False
2022-01-06;36;0;61;47;60;False
2022-01-07;52;0;59;52;62;False
2022-01-08;54;0;51;92;70;False
2022-01-09;45;9;49;70;54;False
2022-01-10;44;5;63;77;95;False
2022-01-11;44;0;59;83;77;False
2022-01-12;30;0;65;75;66;False
2022-01-13;47;0;74;70;98;False
2022-01-14;37;0;54;82;82;False
2022-01-15;51;0;61;65;65;False
2022-01-16;40;0;48;71;71;False
2022-01-17;36;8;46;59;64;False
2022-01-18;27;6;62;91;58;False
2022-01-19;33;0;50;70;73;False
2022-01-20;48;0;42;52;53;False
2022-01-21;55;0;51;84;37;False
2022-01-22;96;0;38;55;52;False
2022-01-23;58;7;40;86;67;False
2022-01-24;34;0;66;75;95;False
2022-01-25;31;0;58;71;48;False
2022-01-26;43;7;45;67;63;False
2022-01-27;24;0;35;63;70;False
2022-01-28;61;0;52;57;49;False
2022-01-29;58;6;53;54;59;False
2022-01-30;44;0;53;58;70;False
2022-01-31;40;0;56;78;81;False
