date;Molière;Patrick Marber;Martin Crimp;António Horta-Osório;air travel;isPartial
2022-01-01;0;0;0;0;34;False
2022-01-02;11;0;0;0;63;False
2022-01-03;0;0;5;10;51;False
2022-01-04;0;5;6;7;54;False
2022-01-05;0;0;0;5;77;False
2022-01-06;0;0;0;0;61;False
2022-01-07;0;0;0;6;63;False
2022-01-08;0;0;0;0;71;False
2022-01-09;7;0;8;0;55;False
2022-01-10;5;10;0;0;97;False
2022-01-11;0;8;0;5;79;False
2022-01-12;0;0;0;8;67;False
2022-01-13;0;0;6;0;100;False
2022-01-14;0;12;0;0;84;False
2022-01-15;6;0;0;0;66;False
2022-01-16;24;0;0;0;72;False
2022-01-17;0;0;0;22;65;False
2022-01-18;0;0;12;5;59;False
2022-01-19;5;0;0;0;74;False
2022-01-20;5;0;0;0;54;False
2022-01-21;6;5;0;0;38;False
2022-01-22;0;0;0;0;53;False
2022-01-23;0;0;0;0;69;False
2022-01-24;0;0;0;6;97;False
2022-01-25;0;0;16;0;49;False
2022-01-26;0;0;0;15;64;False
2022-01-27;0;0;0;4;71;False
2022-01-28;0;0;0;0;49;False
2022-01-29;0;0;0;0;60;False
2022-01-30;0;0;0;0;71;False
2022-01-31;0;6;0;0;82;False
