date;Antony Sher;Steve Martin;Robert Durst;Colorado;air travel;isPartial
2022-01-01;2;12;4;100;11;False
2022-01-02;1;14;0;80;20;False
2022-01-03;0;9;0;41;16;False
2022-01-04;0;12;0;37;17;False
2022-01-05;0;13;0;31;24;False
2022-01-06;0;8;0;36;19;False
2022-01-07;0;6;0;38;20;False
2022-01-08;0;16;0;37;23;False
2022-01-09;0;17;2;33;18;False
2022-01-10;0;13;91;29;31;False
2022-01-11;2;11;72;32;25;False
2022-01-12;2;9;8;31;21;False
2022-01-13;2;3;11;33;32;False
2022-01-14;2;17;4;29;27;False
2022-01-15;0;19;6;24;21;False
2022-01-16;26;14;17;30;23;False
2022-01-17;4;6;6;28;21;False
2022-01-18;0;14;3;24;19;False
2022-01-19;1;7;2;25;24;False
2022-01-20;0;5;1;29;17;False
2022-01-21;1;4;6;28;12;False
2022-01-22;0;16;3;26;17;False
2022-01-23;0;15;3;40;22;False
2022-01-24;0;2;3;38;31;False
2022-01-25;0;7;0;28;16;False
2022-01-26;0;8;0;34;20;False
2022-01-27;2;8;0;29;23;False
2022-01-28;0;4;0;30;16;False
2022-01-29;0;12;4;33;19;False
2022-01-30;3;12;0;33;23;False
2022-01-31;0;6;0;31;26;False
