date;Bryony Frost;Delhi;Pope Francis;Veterinary science;air travel;isPartial
2022-01-01;10;78;13;0;18;False
2022-01-02;0;81;11;0;33;False
2022-01-03;3;77;7;6;27;False
2022-01-04;0;65;4;0;28;False
2022-01-05;0;86;16;4;40;False
2022-01-06;5;69;67;3;32;False
2022-01-07;0;67;46;0;33;False
2022-01-08;0;79;15;0;37;False
2022-01-09;6;70;14;4;29;False
2022-01-10;4;61;18;3;51;False
2022-01-11;0;67;16;0;41;False
2022-01-12;7;66;14;5;35;False
2022-01-13;4;94;8;0;52;False
2022-01-14;0;67;12;3;44;False
2022-01-15;11;87;11;4;35;False
2022-01-16;3;80;11;0;38;False
2022-01-17;10;82;5;8;34;False
2022-01-18;4;73;13;0;31;False
2022-01-19;4;67;4;3;39;False
2022-01-20;4;72;29;0;28;False
2022-01-21;0;61;5;6;20;False
2022-01-22;8;73;4;0;28;False
2022-01-23;5;85;8;0;36;False
2022-01-24;7;72;9;0;51;False
2022-01-25;0;75;7;0;26;False
2022-01-26;3;70;7;6;33;False
2022-01-27;4;68;12;0;37;False
2022-01-28;5;80;11;0;26;False
2022-01-29;8;84;0;0;31;False
2022-01-30;0;70;8;0;37;False
2022-01-31;4;100;15;0;43;False
