date;ashling murphy;paris agreement;jonas brothers;army;air travel;isPartial
2022-01-01;0;0;0;62;2;False
2022-01-02;0;1;1;71;4;False
2022-01-03;1;0;1;66;4;False
2022-01-04;0;0;1;65;4;False
2022-01-05;0;0;1;63;5;False
2022-01-06;0;1;1;63;4;False
2022-01-07;0;0;0;76;4;False
2022-01-08;0;0;1;66;4;False
2022-01-09;0;0;2;84;3;False
2022-01-10;0;2;1;58;5;False
2022-01-11;0;1;1;92;4;False
2022-01-12;1;0;1;98;5;False
2022-01-13;76;0;1;70;5;False
2022-01-14;100;0;1;68;5;False
2022-01-15;67;0;1;82;4;False
2022-01-16;28;1;1;76;5;False
2022-01-17;16;0;0;66;4;False
2022-01-18;38;0;0;67;4;False
2022-01-19;22;1;1;67;5;False
2022-01-20;17;0;0;67;2;False
2022-01-21;6;1;2;69;2;False
2022-01-22;7;0;2;78;4;False
2022-01-23;3;1;1;93;5;False
2022-01-24;2;1;1;90;5;False
2022-01-25;1;0;1;67;3;False
2022-01-26;1;1;1;73;4;False
2022-01-27;1;1;1;64;3;False
2022-01-28;1;1;1;75;3;False
2022-01-29;1;0;2;78;3;False
2022-01-30;1;0;1;79;4;False
2022-01-31;1;1;1;74;5;False
