date;Couriers/delivery industry;Oil;Petrol prices;Pasta;air travel;isPartial
2022-01-01;0;64;1;32;1;False
2022-01-02;0;75;1;41;1;False
2022-01-03;0;79;0;46;1;False
2022-01-04;0;76;1;45;1;False
2022-01-05;0;77;1;41;2;False
2022-01-06;0;78;1;40;1;False
2022-01-07;0;79;1;36;2;False
2022-01-08;0;87;1;42;2;False
2022-01-09;0;97;1;41;1;False
2022-01-10;0;94;1;46;2;False
2022-01-11;0;78;1;42;2;False
2022-01-12;0;79;1;40;2;False
2022-01-13;0;79;1;42;2;False
2022-01-14;0;74;1;31;2;False
2022-01-15;0;86;1;52;2;False
2022-01-16;0;94;1;47;2;False
2022-01-17;0;84;1;42;2;False
2022-01-18;0;79;1;39;1;False
2022-01-19;0;73;1;35;2;False
2022-01-20;0;78;1;36;1;False
2022-01-21;0;78;1;32;1;False
2022-01-22;0;80;1;39;1;False
2022-01-23;0;95;1;38;2;False
2022-01-24;0;100;1;45;2;False
2022-01-25;0;89;1;36;1;False
2022-01-26;0;82;1;37;2;False
2022-01-27;0;78;1;34;2;False
2022-01-28;0;87;1;31;1;False
2022-01-29;0;83;1;35;1;False
2022-01-30;0;79;2;37;2;False
2022-01-31;0;84;1;41;2;False
