date;backstage podcast;platinum jubilee;the queens;benedict cumberbatch;air travel;isPartial
2022-01-01;0;8;18;11;3;False
2022-01-02;0;9;16;9;5;False
2022-01-03;0;52;23;9;4;False
2022-01-04;0;17;15;6;4;False
2022-01-05;0;10;13;6;6;False
2022-01-06;0;14;14;5;5;False
2022-01-07;0;12;13;7;5;False
2022-01-08;0;10;17;9;6;False
2022-01-09;0;10;15;7;4;False
2022-01-10;0;100;30;7;8;False
2022-01-11;0;29;16;8;6;False
2022-01-12;0;20;16;5;5;False
2022-01-13;0;20;18;3;8;False
2022-01-14;0;14;17;6;7;False
2022-01-15;0;14;21;8;5;False
2022-01-16;0;14;22;8;6;False
2022-01-17;0;16;16;4;5;False
2022-01-18;0;16;16;2;5;False
2022-01-19;0;12;13;3;6;False
2022-01-20;0;12;13;5;4;False
2022-01-21;0;11;14;8;3;False
2022-01-22;0;8;17;7;4;False
2022-01-23;0;13;14;6;6;False
2022-01-24;0;15;15;6;8;False
2022-01-25;0;11;12;4;4;False
2022-01-26;0;11;10;4;5;False
2022-01-27;0;11;15;5;6;False
2022-01-28;0;11;15;5;4;False
2022-01-29;0;13;15;8;5;False
2022-01-30;0;10;17;6;6;False
2022-01-31;0;21;17;3;7;False
