date;Audiobooks;Guardian Media Group;Media business;National newspapers;air travel;isPartial
2022-01-01;56;0;7;10;34;False
2022-01-02;86;0;15;0;63;False
2022-01-03;59;5;22;0;51;False
2022-01-04;53;9;23;0;54;False
2022-01-05;53;6;36;0;77;False
2022-01-06;52;5;51;0;61;False
2022-01-07;55;0;29;6;63;False
2022-01-08;44;0;25;0;71;False
2022-01-09;52;19;0;5;55;False
2022-01-10;58;0;46;0;97;False
2022-01-11;66;4;31;0;79;False
2022-01-12;33;0;34;0;67;False
2022-01-13;30;0;32;0;100;False
2022-01-14;37;0;40;0;84;False
2022-01-15;44;0;10;0;66;False
2022-01-16;37;0;15;0;72;False
2022-01-17;43;0;52;13;65;False
2022-01-18;33;0;26;0;59;False
2022-01-19;36;0;39;0;74;False
2022-01-20;37;0;30;0;54;False
2022-01-21;53;5;31;9;38;False
2022-01-22;62;17;13;5;53;False
2022-01-23;49;5;21;0;69;False
2022-01-24;56;5;49;13;97;False
2022-01-25;31;9;37;0;49;False
2022-01-26;59;0;38;0;64;False
2022-01-27;35;4;27;0;71;False
2022-01-28;34;21;30;11;49;False
2022-01-29;52;0;12;0;60;False
2022-01-30;47;0;8;0;71;False
2022-01-31;38;0;38;0;82;False
