date;Mary Berry;Speed skating;Gavin Williamson;Badgers;air travel;isPartial
2022-01-01;48;1;0;6;4;False
2022-01-02;46;1;1;3;7;False
2022-01-03;29;0;1;4;6;False
2022-01-04;19;0;1;12;6;False
2022-01-05;21;0;1;5;9;False
2022-01-06;23;0;0;4;7;False
2022-01-07;27;1;0;5;7;False
2022-01-08;38;0;0;15;8;False
2022-01-09;37;0;1;9;6;False
2022-01-10;25;0;0;7;11;False
2022-01-11;25;0;0;6;9;False
2022-01-12;21;0;0;4;8;False
2022-01-13;27;1;0;8;11;False
2022-01-14;21;0;0;4;9;False
2022-01-15;40;0;1;6;7;False
2022-01-16;41;0;100;6;8;False
2022-01-17;21;0;11;18;7;False
2022-01-18;21;0;3;6;7;False
2022-01-19;18;0;2;4;8;False
2022-01-20;24;0;1;4;6;False
2022-01-21;27;0;2;3;4;False
2022-01-22;37;0;2;5;6;False
2022-01-23;35;0;4;6;8;False
2022-01-24;23;0;1;6;11;False
2022-01-25;21;1;0;6;6;False
2022-01-26;20;1;0;3;7;False
2022-01-27;20;1;1;5;8;False
2022-01-28;28;1;0;4;6;False
2022-01-29;39;1;0;7;7;False
2022-01-30;34;0;0;4;8;False
2022-01-31;19;1;1;4;9;False
