date;Bertolt Brecht;Frida Kahlo;Ska;Proms;air travel;isPartial
2022-01-01;0;28;51;16;34;False
2022-01-02;0;31;14;45;63;False
2022-01-03;0;32;19;22;51;False
2022-01-04;0;38;22;16;54;False
2022-01-05;0;24;22;0;77;False
2022-01-06;0;37;22;4;61;False
2022-01-07;0;32;22;37;63;False
2022-01-08;11;37;26;12;71;False
2022-01-09;0;35;36;9;55;False
2022-01-10;0;47;34;15;97;False
2022-01-11;9;42;32;19;79;False
2022-01-12;4;70;31;18;67;False
2022-01-13;0;61;25;19;100;False
2022-01-14;6;67;22;20;84;False
2022-01-15;0;42;16;17;66;False
2022-01-16;0;31;21;11;72;False
2022-01-17;0;15;28;23;65;False
2022-01-18;0;42;23;22;59;False
2022-01-19;0;27;15;16;74;False
2022-01-20;0;26;24;5;54;False
2022-01-21;0;38;23;0;38;False
2022-01-22;0;30;39;17;53;False
2022-01-23;7;27;23;24;69;False
2022-01-24;6;68;27;9;97;False
2022-01-25;0;42;31;18;49;False
2022-01-26;0;39;18;9;64;False
2022-01-27;6;37;33;16;71;False
2022-01-28;0;34;34;26;49;False
2022-01-29;0;50;39;9;60;False
2022-01-30;0;58;20;47;71;False
2022-01-31;19;38;40;13;82;False
