date;Migration and development;Big Thief;Amy Coney Barrett;Indiana;air travel;isPartial
2022-01-01;0;0;0;100;5;False
2022-01-02;0;0;3;95;9;False
2022-01-03;0;2;0;23;8;False
2022-01-04;0;1;0;19;8;False
2022-01-05;0;1;1;23;12;False
2022-01-06;0;1;0;22;9;False
2022-01-07;0;0;0;17;10;False
2022-01-08;0;1;1;21;11;False
2022-01-09;3;0;0;20;8;False
2022-01-10;0;0;0;14;15;False
2022-01-11;0;3;0;15;12;False
2022-01-12;0;1;0;15;10;False
2022-01-13;0;0;0;18;15;False
2022-01-14;0;2;1;17;13;False
2022-01-15;2;1;1;22;10;False
2022-01-16;0;0;0;16;11;False
2022-01-17;0;2;0;12;10;False
2022-01-18;0;1;0;14;9;False
2022-01-19;0;0;0;9;11;False
2022-01-20;0;0;0;15;8;False
2022-01-21;0;1;0;20;6;False
2022-01-22;0;1;0;16;8;False
2022-01-23;0;2;0;22;10;False
2022-01-24;0;1;0;16;15;False
2022-01-25;1;1;0;12;7;False
2022-01-26;1;0;0;15;10;False
2022-01-27;0;0;1;13;11;False
2022-01-28;0;0;0;14;7;False
2022-01-29;0;1;0;18;9;False
2022-01-30;0;0;0;28;11;False
2022-01-31;1;0;0;16;12;False
