date;Health & wellbeing;Personal finance;Housing;Melbourne;air travel;isPartial
2022-01-01;0;1;35;12;2;False
2022-01-02;0;1;43;14;3;False
2022-01-03;0;1;52;15;3;False
2022-01-04;0;1;83;13;2;False
2022-01-05;0;2;86;18;4;False
2022-01-06;0;2;80;18;3;False
2022-01-07;0;1;75;18;3;False
2022-01-08;0;1;43;20;3;False
2022-01-09;0;1;47;25;2;False
2022-01-10;0;1;94;19;5;False
2022-01-11;0;2;84;17;3;False
2022-01-12;0;2;87;13;3;False
2022-01-13;0;1;89;16;4;False
2022-01-14;0;2;79;18;4;False
2022-01-15;0;1;47;21;4;False
2022-01-16;0;1;48;22;4;False
2022-01-17;0;2;89;14;2;False
2022-01-18;0;2;81;16;3;False
2022-01-19;0;1;79;13;3;False
2022-01-20;1;1;74;15;2;False
2022-01-21;0;2;79;16;2;False
2022-01-22;0;1;48;13;3;False
2022-01-23;0;1;51;15;3;False
2022-01-24;0;2;100;15;4;False
2022-01-25;0;1;81;14;2;False
2022-01-26;0;1;80;13;3;False
2022-01-27;0;1;85;13;3;False
2022-01-28;0;1;78;12;2;False
2022-01-29;0;1;47;15;3;False
2022-01-30;0;1;46;38;4;False
2022-01-31;0;1;91;13;4;False
