date;Children's books: 7 and under;Children and teenagers;Children's books: 8-12 years;CBeebies;air travel;isPartial
2022-01-01;0;0;0;62;10;False
2022-01-02;0;0;0;57;18;False
2022-01-03;0;0;0;62;15;False
2022-01-04;0;0;0;65;16;False
2022-01-05;0;0;0;88;23;False
2022-01-06;0;2;0;77;18;False
2022-01-07;0;0;0;96;19;False
2022-01-08;0;0;0;74;21;False
2022-01-09;0;3;0;52;16;False
2022-01-10;0;0;0;80;28;False
2022-01-11;0;0;0;77;23;False
2022-01-12;0;3;0;80;20;False
2022-01-13;0;0;0;82;29;False
2022-01-14;0;0;0;90;25;False
2022-01-15;0;0;0;66;19;False
2022-01-16;0;0;0;69;21;False
2022-01-17;0;0;0;72;19;False
2022-01-18;0;4;0;82;17;False
2022-01-19;0;0;0;74;22;False
2022-01-20;0;0;0;75;16;False
2022-01-21;0;0;0;100;11;False
2022-01-22;0;0;0;76;16;False
2022-01-23;0;0;0;66;20;False
2022-01-24;0;0;0;75;28;False
2022-01-25;0;0;0;76;14;False
2022-01-26;0;0;0;72;19;False
2022-01-27;0;0;0;81;21;False
2022-01-28;0;0;0;75;15;False
2022-01-29;0;0;0;54;18;False
2022-01-30;0;2;0;62;21;False
2022-01-31;0;0;0;83;24;False
