date;Football politics;Grammy awards 2022;US gun control;New Orleans;air travel;isPartial
2022-01-01;0;0;6;54;19;False
2022-01-02;3;3;0;72;36;False
2022-01-03;3;9;5;74;29;False
2022-01-04;0;4;0;47;31;False
2022-01-05;6;4;0;50;44;False
2022-01-06;3;0;3;57;35;False
2022-01-07;0;0;0;62;36;False
2022-01-08;6;0;0;73;40;False
2022-01-09;0;3;0;75;31;False
2022-01-10;0;0;0;73;55;False
2022-01-11;3;0;0;52;45;False
2022-01-12;3;4;0;41;38;False
2022-01-13;0;0;17;69;57;False
2022-01-14;0;3;3;66;48;False
2022-01-15;4;0;0;96;38;False
2022-01-16;0;0;0;99;41;False
2022-01-17;0;6;0;86;37;False
2022-01-18;3;4;0;65;34;False
2022-01-19;0;0;0;57;42;False
2022-01-20;6;0;0;100;31;False
2022-01-21;3;4;0;57;22;False
2022-01-22;0;0;0;56;30;False
2022-01-23;11;0;0;85;39;False
2022-01-24;0;0;0;74;55;False
2022-01-25;3;0;4;72;28;False
2022-01-26;0;3;0;63;36;False
2022-01-27;0;6;0;85;41;False
2022-01-28;0;0;0;71;28;False
2022-01-29;3;8;0;81;34;False
2022-01-30;4;0;5;85;41;False
2022-01-31;0;0;0;65;47;False
