date;Sri Lanka;BBC;Drama;Martin Freeman;air travel;isPartial
2022-01-01;1;94;2;0;0;False
2022-01-02;1;87;3;0;0;False
2022-01-03;1;75;3;0;0;False
2022-01-04;1;94;2;0;0;False
2022-01-05;1;87;2;0;0;False
2022-01-06;1;77;2;0;0;False
2022-01-07;1;86;2;1;0;False
2022-01-08;1;90;2;0;0;False
2022-01-09;1;84;2;0;0;False
2022-01-10;1;87;2;0;0;False
2022-01-11;1;82;2;0;0;False
2022-01-12;1;81;2;0;0;False
2022-01-13;1;84;2;0;0;False
2022-01-14;1;76;2;0;0;False
2022-01-15;1;86;2;0;0;False
2022-01-16;1;100;2;0;0;False
2022-01-17;1;71;2;0;0;False
2022-01-18;1;75;1;0;0;False
2022-01-19;1;77;2;0;0;False
2022-01-20;1;82;2;0;0;False
2022-01-21;1;71;2;0;0;False
2022-01-22;1;86;2;0;0;False
2022-01-23;1;74;2;0;0;False
2022-01-24;1;72;2;1;0;False
2022-01-25;1;67;2;1;0;False
2022-01-26;1;76;2;1;0;False
2022-01-27;1;69;2;1;0;False
2022-01-28;1;73;1;1;0;False
2022-01-29;1;84;2;1;0;False
2022-01-30;1;81;2;1;0;False
2022-01-31;1;93;2;1;0;False
