date;storm corrie;rail;video games;weather;air travel;isPartial
2022-01-01;0;3;0;66;0;False
2022-01-02;0;4;0;76;0;False
2022-01-03;0;4;0;72;0;False
2022-01-04;0;4;0;92;0;False
2022-01-05;0;4;0;81;0;False
2022-01-06;0;4;0;100;0;False
2022-01-07;0;4;0;92;0;False
2022-01-08;0;3;0;78;0;False
2022-01-09;0;4;0;66;0;False
2022-01-10;0;4;0;56;0;False
2022-01-11;0;4;0;54;0;False
2022-01-12;0;4;0;53;0;False
2022-01-13;0;4;0;49;0;False
2022-01-14;0;4;0;52;0;False
2022-01-15;0;4;0;62;0;False
2022-01-16;0;4;0;59;0;False
2022-01-17;0;4;0;54;0;False
2022-01-18;0;4;0;51;0;False
2022-01-19;0;4;0;52;0;False
2022-01-20;0;4;0;49;0;False
2022-01-21;0;4;0;50;0;False
2022-01-22;0;4;0;48;0;False
2022-01-23;0;4;0;49;0;False
2022-01-24;0;5;0;50;0;False
2022-01-25;0;3;0;42;0;False
2022-01-26;0;4;0;48;0;False
2022-01-27;0;4;0;46;0;False
2022-01-28;0;5;0;61;0;False
2022-01-29;0;5;0;78;0;False
2022-01-30;2;4;0;74;0;False
2022-01-31;1;5;0;65;0;False
