date;jean-jacques savin;jamie oliver;wolverhampton;alan sugar;air travel;isPartial
2022-01-01;0;55;76;3;3;False
2022-01-02;0;49;77;3;6;False
2022-01-03;0;51;94;2;5;False
2022-01-04;0;31;94;2;5;False
2022-01-05;0;34;92;11;8;False
2022-01-06;0;33;86;31;6;False
2022-01-07;0;35;86;16;6;False
2022-01-08;0;54;78;9;7;False
2022-01-09;0;53;81;4;5;False
2022-01-10;1;32;96;5;10;False
2022-01-11;0;35;85;5;8;False
2022-01-12;0;27;81;3;7;False
2022-01-13;0;33;89;18;10;False
2022-01-14;0;32;83;9;8;False
2022-01-15;0;43;94;9;7;False
2022-01-16;2;52;77;6;7;False
2022-01-17;0;30;92;4;6;False
2022-01-18;0;26;84;5;6;False
2022-01-19;0;23;72;3;7;False
2022-01-20;0;28;85;16;5;False
2022-01-21;0;28;80;8;4;False
2022-01-22;1;42;87;3;5;False
2022-01-23;1;45;87;3;7;False
2022-01-24;1;38;100;5;10;False
2022-01-25;1;29;83;2;5;False
2022-01-26;0;29;81;3;6;False
2022-01-27;0;24;84;16;7;False
2022-01-28;0;29;92;9;5;False
2022-01-29;1;40;90;6;6;False
2022-01-30;0;42;73;7;7;False
2022-01-31;0;35;91;4;8;False
