date;Femicide;Men's fashion;Leeds;Christmas food and drink;air travel;isPartial
2022-01-01;0;0;53;0;0;False
2022-01-02;0;1;87;0;1;False
2022-01-03;0;0;53;0;1;False
2022-01-04;0;0;56;0;1;False
2022-01-05;0;0;56;0;1;False
2022-01-06;0;1;50;0;1;False
2022-01-07;0;0;57;0;1;False
2022-01-08;0;1;55;0;1;False
2022-01-09;0;1;79;0;1;False
2022-01-10;0;0;56;0;1;False
2022-01-11;0;0;53;0;1;False
2022-01-12;0;0;51;0;1;False
2022-01-13;0;0;53;0;1;False
2022-01-14;0;0;48;0;1;False
2022-01-15;0;1;60;0;1;False
2022-01-16;0;1;100;0;1;False
2022-01-17;0;0;60;0;1;False
2022-01-18;0;0;55;0;1;False
2022-01-19;0;0;54;0;1;False
2022-01-20;0;0;50;0;1;False
2022-01-21;0;0;56;0;0;False
2022-01-22;0;0;88;0;1;False
2022-01-23;0;0;54;0;1;False
2022-01-24;0;0;60;0;1;False
2022-01-25;0;0;54;0;1;False
2022-01-26;0;0;54;0;1;False
2022-01-27;0;0;52;0;1;False
2022-01-28;0;0;55;0;1;False
2022-01-29;0;1;63;0;1;False
2022-01-30;0;0;54;0;1;False
2022-01-31;0;0;70;0;1;False
