date;Radio 4;Woody Allen;Hygiene;Business masterclasses;air travel;isPartial
2022-01-01;74;4;31;0;7;False
2022-01-02;71;5;29;0;13;False
2022-01-03;76;7;26;0;11;False
2022-01-04;92;1;34;0;11;False
2022-01-05;79;1;41;0;16;False
2022-01-06;84;3;36;0;13;False
2022-01-07;78;3;42;0;13;False
2022-01-08;86;6;40;0;15;False
2022-01-09;79;7;37;0;11;False
2022-01-10;86;1;47;0;20;False
2022-01-11;88;9;42;0;16;False
2022-01-12;79;2;45;0;14;False
2022-01-13;86;10;44;0;21;False
2022-01-14;90;3;41;0;17;False
2022-01-15;98;4;43;0;14;False
2022-01-16;85;3;43;0;15;False
2022-01-17;85;5;40;0;13;False
2022-01-18;92;2;44;0;12;False
2022-01-19;82;3;43;0;15;False
2022-01-20;78;1;48;0;11;False
2022-01-21;84;5;52;0;8;False
2022-01-22;71;5;36;0;11;False
2022-01-23;72;5;35;0;14;False
2022-01-24;91;4;40;0;20;False
2022-01-25;80;1;40;0;10;False
2022-01-26;80;1;42;0;13;False
2022-01-27;82;3;41;0;15;False
2022-01-28;100;2;42;0;10;False
2022-01-29;80;6;41;0;12;False
2022-01-30;78;6;27;0;15;False
2022-01-31;90;4;41;0;17;False
